Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
teladoc,Safari 11,,,2019-08-05 14:14:41,2019-08-05 14:16:35,1m - 53.748s,INCOMPLETE
,,,,,,,
Test Cases/mobileWeb/Teladoc,Safari 11,teladoc application flow,,2019-08-05 14:14:41,2019-08-05 14:16:35,1m - 53.396s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""teladoc"", ""carrierName"":""Teladoc""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-05 14:14:42,2019-08-05 14:14:43,1.202s,PASSED
i = 0,Safari 11,,,2019-08-05 14:14:43,2019-08-05 14:14:43,0.003s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,open site,,2019-08-05 14:14:43,2019-08-05 14:14:54,10.495s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 14:14:54,2019-08-05 14:14:56,2.060s,PASSED
"click(findTestObject(""mobileSanity/Common/side_nav/menu""))",Safari 11,click menu,,2019-08-05 14:14:56,2019-08-05 14:14:56,0.712s,PASSED
Thread.sleep(3000),Safari 11,wait time,,2019-08-05 14:14:56,2019-08-05 14:14:59,3.011s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 14:14:59,2019-08-05 14:15:00,1.007s,PASSED
"click(findTestObject(""mobileSanity/Common/side_nav/nav_teladoc""))",Safari 11,click nav teladoc,,2019-08-05 14:15:00,2019-08-05 14:15:06,5.637s,PASSED
waitForPageLoad(10),Safari 11,,,2019-08-05 14:15:06,2019-08-05 14:15:06,0.021s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 14:15:06,2019-08-05 14:15:08,1.539s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/front_door_quote_button""))",Safari 11,click button,,2019-08-05 14:15:08,2019-08-05 14:15:10,2.243s,PASSED
waitForPageLoad(10),Safari 11,,,2019-08-05 14:15:10,2019-08-05 14:15:10,0.093s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 14:15:10,2019-08-05 14:15:11,1.023s,PASSED
"sendKeys(findTestObject(""mobileSanity/Teladoc/census/input_Location_zip-input""), ""35215"")",Safari 11,set zip code,,2019-08-05 14:15:11,2019-08-05 14:15:11,0.187s,PASSED
Thread.sleep(500),Safari 11,set dob,,2019-08-05 14:15:11,2019-08-05 14:15:12,0.501s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/census/input_Date of Birth_dob-0""), ""12121980"")",Safari 11,,,2019-08-05 14:15:12,2019-08-05 14:15:12,0.226s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/census/label_Male""))",Safari 11,,,2019-08-05 14:15:12,2019-08-05 14:15:12,0.197s,PASSED
Thread.sleep(3000),Safari 11,,,2019-08-05 14:15:12,2019-08-05 14:15:15,3.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 14:15:15,2019-08-05 14:15:16,0.725s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/census/label_Start Secure Application""))",Safari 11,click button,,2019-08-05 14:15:16,2019-08-05 14:15:22,5.804s,PASSED
waitForPageLoad(10),Safari 11,,,2019-08-05 14:15:22,2019-08-05 14:15:22,0.090s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 14:15:22,2019-08-05 14:15:23,1.757s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/name""), [:], STOP_ON_FAILURE)",Safari 11,get name,,2019-08-05 14:15:23,2019-08-05 14:15:24,0.882s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__member-P-1-firstName""), FirstName)",Safari 11,,,2019-08-05 14:15:24,2019-08-05 14:15:25,0.285s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__member-P-1-lastName""), LastName)",Safari 11,,,2019-08-05 14:15:25,2019-08-05 14:15:25,0.284s,PASSED
"selectOptionByValue(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/select_01020304050607""), ""05"", true)",Safari 11,,,2019-08-05 14:15:25,2019-08-05 14:15:25,0.363s,PASSED
"selectOptionByValue(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/select_00102030405060708091011""), ""06"", true)",Safari 11,,,2019-08-05 14:15:25,2019-08-05 14:15:26,0.419s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input_lbs""), ""180"")",Safari 11,,,2019-08-05 14:15:26,2019-08-05 14:15:26,0.140s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__address""), Address)",Safari 11,,,2019-08-05 14:15:26,2019-08-05 14:15:26,0.201s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__city""), City)",Safari 11,,,2019-08-05 14:15:26,2019-08-05 14:15:26,0.269s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__email""), AutoEmail)",Safari 11,,,2019-08-05 14:15:26,2019-08-05 14:15:27,0.450s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input_phone number""), Tel)",Safari 11,,,2019-08-05 14:15:27,2019-08-05 14:15:27,0.167s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/a_Continue to Step 2 - Payment""))",Safari 11,,,2019-08-05 14:15:27,2019-08-05 14:15:27,0.219s,PASSED
waitForPageLoad(10),Safari 11,,,2019-08-05 14:15:27,2019-08-05 14:15:27,0.020s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 14:15:27,2019-08-05 14:15:28,0.825s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/input__credit-card-first""), FirstName)",Safari 11,,,2019-08-05 14:15:28,2019-08-05 14:15:29,0.699s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/input__credit-card-last""), LastName)",Safari 11,,,2019-08-05 14:15:29,2019-08-05 14:15:29,0.205s,PASSED
